step,loss,params,config,heads,layers,hidden,intermediate,high_layers,compress
20000,2.0382,4401600,8_14_192_288,8,14,192,288,False,False
40000,1.8051,4401600,8_14_192_288,8,14,192,288,False,False
60000,1.7387,4401600,8_14_192_288,8,14,192,288,False,False
80000,1.6964,4401600,8_14_192_288,8,14,192,288,False,False
100000,1.6664,4401600,8_14_192_288,8,14,192,288,False,False
120000,1.6422,4401600,8_14_192_288,8,14,192,288,False,False
140000,1.6234,4401600,8_14_192_288,8,14,192,288,False,False
160000,1.607,4401600,8_14_192_288,8,14,192,288,False,False
180000,1.5938,4401600,8_14_192_288,8,14,192,288,False,False
200000,1.5817,4401600,8_14_192_288,8,14,192,288,False,False
220000,1.5722,4401600,8_14_192_288,8,14,192,288,False,False
240000,1.5626,4401600,8_14_192_288,8,14,192,288,False,False
260000,1.5562,4401600,8_14_192_288,8,14,192,288,False,False
280000,1.5498,4401600,8_14_192_288,8,14,192,288,False,False
300000,1.5432,4401600,8_14_192_288,8,14,192,288,False,False
320000,1.5371,4401600,8_14_192_288,8,14,192,288,False,False
340000,1.5298,4401600,8_14_192_288,8,14,192,288,False,False
360000,1.5235,4401600,8_14_192_288,8,14,192,288,False,False
380000,1.5172,4401600,8_14_192_288,8,14,192,288,False,False
400000,1.5127,4401600,8_14_192_288,8,14,192,288,False,False
420000,1.5088,4401600,8_14_192_288,8,14,192,288,False,False
440000,1.504,4401600,8_14_192_288,8,14,192,288,False,False
460000,1.5005,4401600,8_14_192_288,8,14,192,288,False,False
480000,1.4964,4401600,8_14_192_288,8,14,192,288,False,False
500000,1.4943,4401600,8_14_192_288,8,14,192,288,False,False
520000,1.4918,4401600,8_14_192_288,8,14,192,288,False,False
540000,1.4888,4401600,8_14_192_288,8,14,192,288,False,False
560000,1.4873,4401600,8_14_192_288,8,14,192,288,False,False
580000,1.4842,4401600,8_14_192_288,8,14,192,288,False,False
600000,1.4829,4401600,8_14_192_288,8,14,192,288,False,False
620000,1.4785,4401600,8_14_192_288,8,14,192,288,False,False
640000,1.4759,4401600,8_14_192_288,8,14,192,288,False,False
660000,1.4746,4401600,8_14_192_288,8,14,192,288,False,False
680000,1.4729,4401600,8_14_192_288,8,14,192,288,False,False
700000,1.4706,4401600,8_14_192_288,8,14,192,288,False,False
