step,loss,params,config,heads,layers,hidden,intermediate,high_layers,compress
20000,2.0057,8314272,6_10_288_576,6,10,288,576,False,False
40000,1.7825,8314272,6_10_288_576,6,10,288,576,False,False
60000,1.7167,8314272,6_10_288_576,6,10,288,576,False,False
80000,1.6727,8314272,6_10_288_576,6,10,288,576,False,False
100000,1.6405,8314272,6_10_288_576,6,10,288,576,False,False
120000,1.6145,8314272,6_10_288_576,6,10,288,576,False,False
140000,1.5948,8314272,6_10_288_576,6,10,288,576,False,False
160000,1.5778,8314272,6_10_288_576,6,10,288,576,False,False
180000,1.5644,8314272,6_10_288_576,6,10,288,576,False,False
200000,1.552,8314272,6_10_288_576,6,10,288,576,False,False
220000,1.5423,8314272,6_10_288_576,6,10,288,576,False,False
240000,1.5319,8314272,6_10_288_576,6,10,288,576,False,False
260000,1.525,8314272,6_10_288_576,6,10,288,576,False,False
280000,1.518,8314272,6_10_288_576,6,10,288,576,False,False
300000,1.5111,8314272,6_10_288_576,6,10,288,576,False,False
320000,1.5043,8314272,6_10_288_576,6,10,288,576,False,False
340000,1.496,8314272,6_10_288_576,6,10,288,576,False,False
360000,1.4891,8314272,6_10_288_576,6,10,288,576,False,False
380000,1.4821,8314272,6_10_288_576,6,10,288,576,False,False
400000,1.4769,8314272,6_10_288_576,6,10,288,576,False,False
420000,1.4724,8314272,6_10_288_576,6,10,288,576,False,False
440000,1.4671,8314272,6_10_288_576,6,10,288,576,False,False
460000,1.4631,8314272,6_10_288_576,6,10,288,576,False,False
480000,1.4587,8314272,6_10_288_576,6,10,288,576,False,False
500000,1.456,8314272,6_10_288_576,6,10,288,576,False,False
520000,1.453,8314272,6_10_288_576,6,10,288,576,False,False
540000,1.4494,8314272,6_10_288_576,6,10,288,576,False,False
560000,1.4476,8314272,6_10_288_576,6,10,288,576,False,False
580000,1.4444,8314272,6_10_288_576,6,10,288,576,False,False
600000,1.4427,8314272,6_10_288_576,6,10,288,576,False,False
620000,1.4373,8314272,6_10_288_576,6,10,288,576,False,False
640000,1.4346,8314272,6_10_288_576,6,10,288,576,False,False
660000,1.4333,8314272,6_10_288_576,6,10,288,576,False,False
680000,1.4313,8314272,6_10_288_576,6,10,288,576,False,False
700000,1.4288,8314272,6_10_288_576,6,10,288,576,False,False
720000,1.427,8314272,6_10_288_576,6,10,288,576,False,False
740000,1.4259,8314272,6_10_288_576,6,10,288,576,False,False
760000,1.4241,8314272,6_10_288_576,6,10,288,576,False,False
780000,1.4221,8314272,6_10_288_576,6,10,288,576,False,False
800000,1.4205,8314272,6_10_288_576,6,10,288,576,False,False
20000,2.0057,8624960,8_12_320_320,8,12,320,320,False,True
40000,1.7772,8624960,8_12_320_320,8,12,320,320,False,True
60000,1.7086,8624960,8_12_320_320,8,12,320,320,False,True
80000,1.6664,8624960,8_12_320_320,8,12,320,320,False,True
100000,1.6361,8624960,8_12_320_320,8,12,320,320,False,True
120000,1.6116,8624960,8_12_320_320,8,12,320,320,False,True
140000,1.5932,8624960,8_12_320_320,8,12,320,320,False,True
160000,1.5771,8624960,8_12_320_320,8,12,320,320,False,True
180000,1.5647,8624960,8_12_320_320,8,12,320,320,False,True
200000,1.5528,8624960,8_12_320_320,8,12,320,320,False,True
220000,1.5432,8624960,8_12_320_320,8,12,320,320,False,True
240000,1.5333,8624960,8_12_320_320,8,12,320,320,False,True
260000,1.5266,8624960,8_12_320_320,8,12,320,320,False,True
280000,1.5197,8624960,8_12_320_320,8,12,320,320,False,True
300000,1.5128,8624960,8_12_320_320,8,12,320,320,False,True
320000,1.5062,8624960,8_12_320_320,8,12,320,320,False,True
340000,1.498,8624960,8_12_320_320,8,12,320,320,False,True
360000,1.4909,8624960,8_12_320_320,8,12,320,320,False,True
380000,1.4841,8624960,8_12_320_320,8,12,320,320,False,True
400000,1.4789,8624960,8_12_320_320,8,12,320,320,False,True
420000,1.4744,8624960,8_12_320_320,8,12,320,320,False,True
440000,1.4689,8624960,8_12_320_320,8,12,320,320,False,True
460000,1.4649,8624960,8_12_320_320,8,12,320,320,False,True
480000,1.4604,8624960,8_12_320_320,8,12,320,320,False,True
500000,1.4581,8624960,8_12_320_320,8,12,320,320,False,True
520000,1.455,8624960,8_12_320_320,8,12,320,320,False,True
540000,1.4514,8624960,8_12_320_320,8,12,320,320,False,True
560000,1.4494,8624960,8_12_320_320,8,12,320,320,False,True
580000,1.4461,8624960,8_12_320_320,8,12,320,320,False,True
600000,1.4445,8624960,8_12_320_320,8,12,320,320,False,True
620000,1.4392,8624960,8_12_320_320,8,12,320,320,False,True
640000,1.4365,8624960,8_12_320_320,8,12,320,320,False,True
660000,1.4348,8624960,8_12_320_320,8,12,320,320,False,True
680000,1.4329,8624960,8_12_320_320,8,12,320,320,False,True
700000,1.4305,8624960,8_12_320_320,8,12,320,320,False,True
720000,1.4286,8624960,8_12_320_320,8,12,320,320,False,True
740000,1.4277,8624960,8_12_320_320,8,12,320,320,False,True
760000,1.4258,8624960,8_12_320_320,8,12,320,320,False,True
780000,1.4238,8624960,8_12_320_320,8,12,320,320,False,True
800000,1.4221,8624960,8_12_320_320,8,12,320,320,False,True
820000,1.4214,8624960,8_12_320_320,8,12,320,320,False,True
840000,1.4198,8624960,8_12_320_320,8,12,320,320,False,True
860000,1.4186,8624960,8_12_320_320,8,12,320,320,False,True
880000,1.4165,8624960,8_12_320_320,8,12,320,320,False,True
900000,1.4154,8624960,8_12_320_320,8,12,320,320,False,True
920000,1.4148,8624960,8_12_320_320,8,12,320,320,False,True
940000,1.4124,8624960,8_12_320_320,8,12,320,320,False,True
960000,1.411,8624960,8_12_320_320,8,12,320,320,False,True
980000,1.4111,8624960,8_12_320_320,8,12,320,320,False,True
1000000,1.4092,8624960,8_12_320_320,8,12,320,320,False,True
1020000,1.4081,8624960,8_12_320_320,8,12,320,320,False,True
1040000,1.4073,8624960,8_12_320_320,8,12,320,320,False,True
1060000,1.4051,8624960,8_12_320_320,8,12,320,320,False,True
1080000,1.4046,8624960,8_12_320_320,8,12,320,320,False,True
1100000,1.4043,8624960,8_12_320_320,8,12,320,320,False,True
1120000,1.4033,8624960,8_12_320_320,8,12,320,320,False,True
1140000,1.4012,8624960,8_12_320_320,8,12,320,320,False,True
1160000,1.4008,8624960,8_12_320_320,8,12,320,320,False,True
1180000,1.4007,8624960,8_12_320_320,8,12,320,320,False,True
1200000,1.3961,8624960,8_12_320_320,8,12,320,320,False,True
